house_id,source_dataset,timestamp,date,slot_index,aggregate,active_appliance_count,burst_event_count,is_weekend,is_observed_point,is_imputed_point,is_unresolved_point,is_clipped_point,imputed_ratio,clipped_points
refit_5,refit,2015-04-18 00:00:00,2015-04-18,0,318.05645161290323,1.0,0.0,1,1,0,0,0,0.020833333333333332,0
refit_5,refit,2015-04-18 00:15:00,2015-04-18,1,311.2295081967213,1.0,0.0,1,1,0,0,0,0.020833333333333332,0
refit_5,refit,2015-04-18 00:30:00,2015-04-18,2,304.4920634920635,1.0,0.0,1,1,0,0,0,0.020833333333333332,0
refit_5,refit,2015-04-18 00:45:00,2015-04-18,3,307.07936507936506,1.0,0.0,1,1,0,0,0,0.020833333333333332,0
refit_5,refit,2015-04-18 01:00:00,2015-04-18,4,296.06666666666666,1.0,0.0,1,1,0,0,0,0.020833333333333332,0
refit_5,refit,2015-04-18 01:15:00,2015-04-18,5,314.2113821138211,1.0,0.0,1,1,0,0,0,0.020833333333333332,0
refit_5,refit,2015-04-18 01:30:00,2015-04-18,6,292.1101694915254,0.0,0.0,1,1,0,0,0,0.020833333333333332,0
refit_5,refit,2015-04-18 01:45:00,2015-04-18,7,331.349593495935,2.0,0.0,1,1,0,0,0,0.020833333333333332,0
refit_5,refit,2015-04-18 02:00:00,2015-04-18,8,364.6666666666667,1.0,0.0,1,1,0,0,0,0.020833333333333332,0
refit_5,refit,2015-04-18 02:15:00,2015-04-18,9,336.90983606557376,2.0,0.0,1,1,0,0,0,0.020833333333333332,0
refit_5,refit,2015-04-18 02:30:00,2015-04-18,10,311.65546218487395,2.0,0.0,1,1,0,0,0,0.020833333333333332,0
refit_5,refit,2015-04-18 02:45:00,2015-04-18,11,331.55737704918033,2.0,0.0,1,1,0,0,0,0.020833333333333332,0
refit_5,refit,2015-04-18 03:00:00,2015-04-18,12,326.96774193548384,2.0,0.0,1,1,0,0,0,0.020833333333333332,0
refit_5,refit,2015-04-18 03:15:00,2015-04-18,13,302.3333333333333,2.0,0.0,1,1,0,0,0,0.020833333333333332,0
refit_5,refit,2015-04-18 03:30:00,2015-04-18,14,334.0,1.0,0.0,1,1,0,0,0,0.020833333333333332,0
refit_5,refit,2015-04-18 03:45:00,2015-04-18,15,292.9268292682927,1.0,0.0,1,1,0,0,0,0.020833333333333332,0
refit_5,refit,2015-04-18 04:00:00,2015-04-18,16,313.0163934426229,1.0,0.0,1,1,0,0,0,0.020833333333333332,0
refit_5,refit,2015-04-18 04:15:00,2015-04-18,17,331.0,1.0,0.0,1,1,0,0,0,0.020833333333333332,0
refit_5,refit,2015-04-18 04:30:00,2015-04-18,18,325.45762711864404,1.0,0.0,1,1,0,0,0,0.020833333333333332,0
refit_5,refit,2015-04-18 04:45:00,2015-04-18,19,285.6198347107438,0.0,0.0,1,1,0,0,0,0.020833333333333332,0
refit_5,refit,2015-04-18 05:00:00,2015-04-18,20,313.8455284552846,1.0,0.0,1,1,0,0,0,0.020833333333333332,0
refit_5,refit,2015-04-18 05:15:00,2015-04-18,21,596.4833333333333,1.0,0.0,1,1,0,0,0,0.020833333333333332,0
refit_5,refit,2015-04-18 05:30:00,2015-04-18,22,1346.1949152542372,1.0,0.0,1,1,0,0,0,0.020833333333333332,0
refit_5,refit,2015-04-18 05:45:00,2015-04-18,23,1470.7622950819673,1.0,0.0,1,1,0,0,0,0.020833333333333332,0
refit_5,refit,2015-04-18 06:00:00,2015-04-18,24,1437.3196721311476,0.0,0.0,1,1,0,0,0,0.020833333333333332,0
refit_5,refit,2015-04-18 06:15:00,2015-04-18,25,1019.301724137931,2.0,1.0,1,1,0,0,0,0.020833333333333332,0
refit_5,refit,2015-04-18 06:30:00,2015-04-18,26,517.6302521008404,1.0,0.0,1,1,0,0,0,0.020833333333333332,0
refit_5,refit,2015-04-18 06:45:00,2015-04-18,27,514.7096774193549,1.0,0.0,1,1,0,0,0,0.020833333333333332,0
refit_5,refit,2015-04-18 07:00:00,2015-04-18,28,482.0701754385965,1.0,0.0,1,1,0,0,0,0.020833333333333332,0
refit_5,refit,2015-04-18 07:15:00,2015-04-18,29,495.04273504273505,1.0,0.0,1,1,0,0,0,0.020833333333333332,0
refit_5,refit,2015-04-18 07:30:00,2015-04-18,30,494.3669724770642,1.0,0.0,1,1,0,0,0,0.020833333333333332,0
refit_5,refit,2015-04-18 07:45:00,2015-04-18,31,527.5094339622641,1.0,0.0,1,1,0,0,0,0.020833333333333332,0
refit_5,refit,2015-04-18 08:00:00,2015-04-18,32,1281.5677966101696,3.0,2.0,1,1,0,0,0,0.020833333333333332,0
refit_5,refit,2015-04-18 08:15:00,2015-04-18,33,594.1415094339623,2.0,1.0,1,1,0,0,0,0.020833333333333332,0
refit_5,refit,2015-04-18 08:30:00,2015-04-18,34,667.1327433628319,2.0,1.0,1,1,0,0,0,0.020833333333333332,0
refit_5,refit,2015-04-18 08:45:00,2015-04-18,35,701.0185185185185,2.0,2.0,1,1,0,0,0,0.020833333333333332,0
refit_5,refit,2015-04-18 09:00:00,2015-04-18,36,728.7545454545455,2.0,0.0,1,1,0,0,0,0.020833333333333332,0
refit_5,refit,2015-04-18 09:15:00,2015-04-18,37,707.74,3.0,1.0,1,1,0,0,0,0.020833333333333332,0
refit_5,refit,2015-04-18 09:30:00,2015-04-18,38,559.7319587628866,3.0,0.0,1,1,0,0,0,0.020833333333333332,0
refit_5,refit,2015-04-18 09:45:00,2015-04-18,39,577.5681818181819,2.0,0.0,1,1,0,0,0,0.020833333333333332,0
